title,price_clean,brand,animal_type,product_type,availability
"Pet Life Anti Ticks Birds Bath Shampoo 200 Ml + Birds Feather Conditioner 200 Ml-Waterless/Spray For Poultry Birds, Parrots, Sparrows, Pigeon –Cleaner/Shinier Coat & Soft/Silky Feathers- All Bird Type",629.0,Visit the Petlife Store,Birds,Health Supplies,In stock.
VETAFARM NUTRIBLEND Breeder 2 KG,360.0,Vetafarm,Birds,Food,
MACOS Engraved Personalised Circle Pet Tag for Dogs and Cats [Green],399.0,MACOS,Cats,"Collars, Harnesses & Leashes",In stock.
Meri SHOPP Cat Feather Teaser Wand Toy Pet Chaser Supply Retractable 75cm Random Color,1051.0,Generic,Cats,Toys,Usually dispatched in 6 to 10 days.
"Bird Playstand, Parrots Perch Stand Compact Chewing Stable with Base for Cockatiel for Parakeet",,bizofft,Birds,Toys,
PlayBuys Wooden Bird Nest House Comfortable Bedding Birdhouse with Grasses for Parrot Hamster Small Pets Animals Cage Home Hanging Decor,,Generic,Birds,Birdcage Accessories,
Parrot Wood Stand Activity Center Ladder w/Cup Natural Stand with 7.5cm Cups,,Generic,Birds,Toys,
"Josopa Bird Toys, Parrot Hemp Rope Climbing Net, Bird Hanging Swing Toy, for Small Birds Parakeet Parrot Cage Perch Stand",,Josopa,Birds,Toys,
Interactive Cat Toys Ball with Colorful Light & Bird Sound - USB Charging Automatic Irregular 360 Degree Self Rotating Ball - 5 Replacement Feathers Robotic Cat Toy for Indoor Cats Kitten (Green),999.0,PartyKindom,Cats,Toys,
GIANTE Hamster Mouse Hideout House Wooden Living Hut Exercise Funny Nest Toy Green,1639.0,Generic,Small Animals,Houses & Habitats,Usually dispatched in 4 to 5 days.
GlobalNiche® t Dog Comb Brush Glove For Dogs Grooming Massage Supply Cleaning Five Fingers Glove for Cats Removing Hair Form Domestic,855.0,Generic,Cats,Grooming,Usually dispatched in 2 to 3 weeks.
Meri Shopp Parrots Stand Climbing Net Hanging Accessory Hammock Without Bells,,Generic,Birds,Toys,
"Sage Square Natural Habitat Wooden Sand Perch/Stand/Toy for Birds (Light Weight) (Size - 12"")",149.0,Visit the Sage Square Store,Birds,Birdcage Accessories,In stock.
Hanging Novelty Wooden Small Bird House Feeding Station Nest Nesting Box,2162.0,Generic,Birds,Birdcage Accessories,Usually dispatched in 4 to 5 days.
GlobalNiche® Cat Teaser Toy Cat Chaser Toy Interactive Play Toy for Cat Kitten 49x169cm,935.0,Generic,Cats,Toys,Usually dispatched in 2 to 3 weeks.
Aswadh Pet Dog Cooling Mat to Help Your Pet Stay Cool in Summer for Home Travel S,3514.0,Generic,Cats,Beds & Furniture,Usually dispatched in 4 to 5 days.
PetAmi Waterproof Dog Blanket for Bed Couch Sofa | Warm Sherpa Pet Throw Blanket | Super Soft Microfiber Fleece | Reversible Design for Puppy and Large Pet Dog | 60 x 80 Inches (Taupe/Taupe Sherpa),10007.0,PetAmi,Cats,Beds & Furniture,
Dog Combs with Rounded Ends Stainless Steel Teeth Grooming Tool for Long and Short Haired Dog Cat Pets,944.0,Homgeel,Cats,Grooming,Only 1 left in stock.
VMS INDIAPink Pet Lace Scarf Accessories Adjustable Collar Wedding Neckerchief S,886.0,VMS INDIA,Cats,"Collars, Harnesses & Leashes",Usually dispatched in 4 to 5 days.
Aswadh Interactive Teaser Toy for Cats with 6 Refills Fun Toy for Kitten Exercise,1413.0,Generic,Cats,Toys,Usually dispatched in 4 to 5 days.
DIYthinker White Music Dotted Mim Black Pet Tag Keychain Dog Cat ID,1614.51,Bestchong,Cats,"Collars, Harnesses & Leashes",In stock.
"YML A1114MBLU House Top Style Small Parakeet Cage, 11"" x 9"" x 16""",,YML,Birds,Birdcages,
"Interactive Cat Toy, Interactive Cat Toy Ball Automatic Funny Cat Ball Toy Batteries Operated Electric Funny Cat Toy Ball for Indoor Cats",1721.0,FILR,Cats,Toys,Usually dispatched in 1 to 3 weeks.
Birds Climbing Net Birds Chew Toys Hemp Rope Ladder Toy Parrot Hammock Toy,1567.27,Layfuz,Birds,Toys,Only 1 left in stock.
Sage Square 13 Inches / 33 cm Natural Wood Training Cum Exercise 2 Stairs Playful Perch Bird Top Sand Stand / Bird Toy,598.0,Visit the Sage Square Store,Birds,Toys,Only 2 left in stock.
